SVD Hyperparameter Tuning Results
min=2, win=2, dim=100, smooth=1e-08, recon_error=2344.5173
min=2, win=2, dim=100, smooth=1e-06, recon_error=237.0943
min=2, win=2, dim=100, smooth=0.0001, recon_error=3.5156
min=2, win=2, dim=200, smooth=1e-08, recon_error=2233.2654
min=2, win=2, dim=200, smooth=1e-06, recon_error=212.3099
min=2, win=2, dim=200, smooth=0.0001, recon_error=2.8105
min=2, win=2, dim=300, smooth=1e-08, recon_error=2142.9512
min=2, win=2, dim=300, smooth=1e-06, recon_error=196.3908
min=2, win=2, dim=300, smooth=0.0001, recon_error=2.4958
min=2, win=3, dim=100, smooth=1e-08, recon_error=2556.8518
min=2, win=3, dim=100, smooth=1e-06, recon_error=207.8241
min=2, win=3, dim=100, smooth=0.0001, recon_error=2.8123
min=2, win=3, dim=200, smooth=1e-08, recon_error=2451.7874
min=2, win=3, dim=200, smooth=1e-06, recon_error=187.1349
min=2, win=3, dim=200, smooth=0.0001, recon_error=2.2918
min=2, win=3, dim=300, smooth=1e-08, recon_error=2361.9771
min=2, win=3, dim=300, smooth=1e-06, recon_error=173.6251
min=2, win=3, dim=300, smooth=0.0001, recon_error=2.0570
min=2, win=4, dim=100, smooth=1e-08, recon_error=2654.4724
min=2, win=4, dim=100, smooth=1e-06, recon_error=186.7121
min=2, win=4, dim=100, smooth=0.0001, recon_error=2.4046
min=2, win=4, dim=200, smooth=1e-08, recon_error=2552.1611
min=2, win=4, dim=200, smooth=1e-06, recon_error=168.3837
min=2, win=4, dim=200, smooth=0.0001, recon_error=1.9826
min=2, win=4, dim=300, smooth=1e-08, recon_error=2463.6306
min=2, win=4, dim=300, smooth=1e-06, recon_error=156.3690
min=2, win=4, dim=300, smooth=0.0001, recon_error=1.7885
min=5, win=2, dim=100, smooth=1e-08, recon_error=2116.6221
min=5, win=2, dim=100, smooth=1e-06, recon_error=230.1054
min=5, win=2, dim=100, smooth=0.0001, recon_error=3.5291
min=5, win=2, dim=200, smooth=1e-08, recon_error=2023.3176
min=5, win=2, dim=200, smooth=1e-06, recon_error=205.3808
min=5, win=2, dim=200, smooth=0.0001, recon_error=2.7853
min=5, win=2, dim=300, smooth=1e-08, recon_error=1942.1144
min=5, win=2, dim=300, smooth=1e-06, recon_error=189.1266
min=5, win=2, dim=300, smooth=0.0001, recon_error=2.4521
min=5, win=3, dim=100, smooth=1e-08, recon_error=2300.4414
min=5, win=3, dim=100, smooth=1e-06, recon_error=201.9952
min=5, win=3, dim=100, smooth=0.0001, recon_error=2.8164
min=5, win=3, dim=200, smooth=1e-08, recon_error=2212.1763
min=5, win=3, dim=200, smooth=1e-06, recon_error=181.3577
min=5, win=3, dim=200, smooth=0.0001, recon_error=2.2663
min=5, win=3, dim=300, smooth=1e-08, recon_error=2133.3955
min=5, win=3, dim=300, smooth=1e-06, recon_error=167.5199
min=5, win=3, dim=300, smooth=0.0001, recon_error=2.0177
min=5, win=4, dim=100, smooth=1e-08, recon_error=2379.2249
min=5, win=4, dim=100, smooth=1e-06, recon_error=181.5795
min=5, win=4, dim=100, smooth=0.0001, recon_error=2.4039
min=5, win=4, dim=200, smooth=1e-08, recon_error=2293.1414
min=5, win=4, dim=200, smooth=1e-06, recon_error=163.2284
min=5, win=4, dim=200, smooth=0.0001, recon_error=1.9575
min=5, win=4, dim=300, smooth=1e-08, recon_error=2215.8540
min=5, win=4, dim=300, smooth=1e-06, recon_error=150.9737
min=5, win=4, dim=300, smooth=0.0001, recon_error=1.7519
